,good,great,excellent,amazing,love,best,bad,terrible,horrible,worst,awful,hate
good,1.0000000000000004,0.2987120932026536,0.16387979905291442,0.11687241312212832,0.20309059314173614,0.2602724552450971,0.3276886625667793,0.1281108431193328,0.12326632805383639,0.1529452427733542,0.1247244975420256,0.11187508401829195
great,0.2987120932026536,1.000000000000001,0.1829210244659213,0.15966535672159826,0.20427574097782888,0.25900289155053996,0.1491377591316474,0.07611680148872295,0.0623487897831496,0.07155213021268818,0.06428690586198299,0.0849069007963886
excellent,0.16387979905291442,0.1829210244659213,0.9999999999999992,0.09384645304405972,0.10009540800138783,0.1562115690359327,0.06012675868963087,0.039570569602775954,0.02230025424049369,0.02695068449171896,0.02749343118584982,0.035911389363430656
amazing,0.11687241312212832,0.15966535672159826,0.09384645304405972,0.9999999999999988,0.11694106281438296,0.1411591331527006,0.05436207276375079,0.03335414971184076,0.025408085134634342,0.026460147443959647,0.0354640378272054,0.03642832815544095
love,0.20309059314173614,0.20427574097782888,0.10009540800138783,0.11694106281438296,0.9999999999999999,0.18881431445970628,0.12219393004251551,0.0686335167057105,0.053184200586847134,0.06699234911220489,0.05645844313909749,0.11131206342855084
best,0.2602724552450971,0.25900289155053996,0.1562115690359327,0.1411591331527006,0.18881431445970628,1.0000000000000004,0.15025843635126515,0.07602047339816792,0.05305796709058166,0.10553162887523287,0.06450290516160571,0.07643685960766991
bad,0.3276886625667793,0.1491377591316474,0.06012675868963087,0.05436207276375079,0.12219393004251551,0.15025843635126515,0.9999999999999994,0.1914769018066508,0.17004038599916071,0.26734763193981653,0.20319022748137158,0.09657671251749728
terrible,0.1281108431193328,0.07611680148872295,0.039570569602775954,0.03335414971184076,0.0686335167057105,0.07602047339816792,0.1914769018066508,0.9999999999999994,0.08160474512914215,0.16559132991155825,0.1352828225884876,0.05536737336743109
horrible,0.12326632805383639,0.0623487897831496,0.02230025424049369,0.025408085134634342,0.053184200586847134,0.05305796709058166,0.17004038599916071,0.08160474512914215,0.9999999999999996,0.15129513323296861,0.09159204272881183,0.05472359605048074
worst,0.1529452427733542,0.07155213021268818,0.02695068449171896,0.026460147443959647,0.06699234911220489,0.10553162887523287,0.26734763193981653,0.16559132991155825,0.15129513323296861,0.999999999999999,0.17362755875822636,0.0727007713323307
awful,0.1247244975420256,0.06428690586198299,0.02749343118584982,0.0354640378272054,0.05645844313909749,0.06450290516160571,0.20319022748137158,0.1352828225884876,0.09159204272881183,0.17362755875822636,1.0000000000000007,0.055847986579128456
hate,0.11187508401829195,0.0849069007963886,0.035911389363430656,0.03642832815544095,0.11131206342855084,0.07643685960766991,0.09657671251749728,0.05536737336743109,0.05472359605048074,0.0727007713323307,0.055847986579128456,0.9999999999999994
